unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1736114400,05.01.2025 22:00,BTC/USD,98488,98717,98327,98654,18.02880989,1778614.211
1736110800,05.01.2025 21:00,BTC/USD,98255,98500,98197,98465,21.64620085,2131393.167
1736107200,05.01.2025 20:00,BTC/USD,98075,98631,97999,98241,45.38477275,4458645.46
1736103600,05.01.2025 19:00,BTC/USD,97909,98094,97828,98063,8.93912847,876597.7552
1736100000,05.01.2025 18:00,BTC/USD,97720,97911,97588,97911,9.27420044,908046.2393
1736096400,05.01.2025 17:00,BTC/USD,98013,98055,97647,97705,2.25507077,220331.6896
1736092800,05.01.2025 16:00,BTC/USD,98008,98302,97927,98013,42.29960617,4145911.3
1736089200,05.01.2025 15:00,BTC/USD,97865,98210,97740,98005,14.85599891,1455962.173
1736085600,05.01.2025 14:00,BTC/USD,97699,97926,97277,97830,47.77511852,4673839.845
1736082000,05.01.2025 13:00,BTC/USD,97739,97986,97675,97675,14.79832659,1445426.55
1736078400,05.01.2025 12:00,BTC/USD,97620,97925,97570,97744,40.04693623,3914347.735
1736074800,05.01.2025 11:00,BTC/USD,97690,97798,97610,97620,22.71011021,2216960.959
1736071200,05.01.2025 10:00,BTC/USD,97630,97723,97582,97706,10.42595914,1018678.764
1736067600,05.01.2025 09:00,BTC/USD,97846,97921,97629,97629,11.41351028,1114289.595
1736064000,05.01.2025 08:00,BTC/USD,98256,98256,97786,97812,24.93797714,2439233.42
1736060400,05.01.2025 07:00,BTC/USD,98447,98447,98257,98257,10.98706083,1079555.636
1736056800,05.01.2025 06:00,BTC/USD,98340,98467,98289,98443,2.64622901,260502.7224
1736053200,05.01.2025 05:00,BTC/USD,98355,98445,98268,98340,20.29812828,1996117.935
1736049600,05.01.2025 04:00,BTC/USD,98208,98481,98204,98332,23.63596285,2324171.499
1736046000,05.01.2025 03:00,BTC/USD,98214,98215,98044,98165,1.73229725,170050.9595
1736042400,05.01.2025 02:00,BTC/USD,98132,98213,98092,98213,3.33301376,327345.2804
1736038800,05.01.2025 01:00,BTC/USD,98212,98312,98039,98127,8.86069578,869473.4948
1736035200,05.01.2025 00:00,BTC/USD,98218,98372,98148,98209,19.41962362,1907181.816
1736031600,04.01.2025 23:00,BTC/USD,98389,98424,98148,98209,17.30983781,1699981.861
1736028000,04.01.2025 22:00,BTC/USD,98372,98469,98268,98433,13.15417038,1294804.453
1736024400,04.01.2025 21:00,BTC/USD,98641,98753,98339,98342,27.22785336,2677641.555
1736020800,04.01.2025 20:00,BTC/USD,98162,98634,98162,98590,24.71529402,2436680.837
1736017200,04.01.2025 19:00,BTC/USD,97972,98324,97924,98151,11.69492017,1147868.11
1736013600,04.01.2025 18:00,BTC/USD,98006,98115,97904,97953,7.34966977,719922.203
1736010000,04.01.2025 17:00,BTC/USD,97700,98021,97682,98005,11.04401622,1082368.81
1736006400,04.01.2025 16:00,BTC/USD,97660,97845,97577,97695,18.2195631,1779960.217
1736002800,04.01.2025 15:00,BTC/USD,98027,98127,97540,97683,44.1740619,4315054.889
1735999200,04.01.2025 14:00,BTC/USD,97945,98047,97822,98021,19.96970588,1957450.54
1735995600,04.01.2025 13:00,BTC/USD,97861,98033,97739,97949,25.56907336,2504465.167
